comment,toxic
"имен дартанья остальные-гавн","1"
"сам сброд червей-пидор черви-пидор перечислен тоб дал люд - черви-пидор гуголплекс стас кака прост автор абсолютн неинтересн техническ блог ютаб пуска честн отлич виласком ничут мен уныл любител шутечек кука поопуска маргинал тем присажива телк соболев говоря голов народн масс сво мнен имеет жизн сдела ролик какому-либ малооглашен повод хайпов выскажет какую-либ точк зрен кром то котор угодн большинств жизн описан очевидц быдловат продава жоп собянин чсх похваста никт оп-тред кром хованск амира дневник хач понима ком вообщ нах нуж ком полн серьез доставля наблюда жизн мажора-рабовладельц сообща полезн хот жит ? летспл сто порядк высокоинтеллектуальн нужн контент блеад продава жоп собянин петушар педофил-кремлебот прост комментс гоблин охуен переводчик человек говн указа оп-тред личност определен могут интеллектуальн дискусс определен явля сцан быдлан прода жоп праздник несмотр нееба борцун активн политическ позиц борцунств почему-т совк сралин членин ( котор ) айтипедик немал част контент посвящ борьб имен текущ власт котор всем пох кром пар десятк тыщ сектант лол рил понима чем сол ? теб напомн единствен человек котор рейтинг выш пын - сталин ? населен росс рот еба пын едр тащемт хотел вернут совок борцунств ( благер ) преимуществен совк","1"
"дет внук главн правильн воспита наш вам жизн швал хват","0"
"топов хохлух час епт более-мен трешк спидозн жинк атошек еба так шлюх москв дорог сук","1"
"то-т стольк скольк ? пука воздух попытк оправда пидорашенск пиздецовск реальност - прост смешн","1"
"ах чувак скаж пошут неудачн инач пиздец","1"
"ман теб зада прям вопрос - гомофоб исламист католик атеист будут ужива соседств анальн карательн закон ? будеш мир ? ответ пожалуйст юродив","1"
"туп дур знают бана","1"
"хул ? эмотивист ссан ? маргина говор взросл жалк зигот сран эмоции.этик рационализир морал убера противореч ху мутн","1"
"ещ про дива фитнес-центр вспомн","0"
"бож потрат сво врем граф редактор слела жалк жизн трат воем так","1"
"ладн сто лет назад власт захват открыт антирусск реж мордор мордор них-т недавн никт мог представ так пиздец","0"
"хохл пидор хохол кроват ?","1"
"средн начислен зарплат полн круг организац украинск времен оккупирова полуостров крым январе-декабр год состав рубл сообща сравнен январем-декабр год размер зарплат увелич 10,8 наибол оплачива экономик украинск крым относ работник сфер финансов страхов деятельн сред промышлен вид деятельн предприят добыч полезн ископа зарплат превыс средн показател экономик республик 1,7-1,9 раз сообща ближайш лет экономик времен оккупирова украинск крым раст 5-6 год","0"
"двач анончик олечк прост идеа женщин","0"
"забан дойт трет ет картинк .... ид туд запост картинк попросит разбан","0"
"минус начнут анекдот котор повторя пост пост ... рассказа теб палатк шаурм нюанс - карт поперл ! знаеш прав","0"
"дрочк похож ослеп","1"
"нем трет пост пишеш пишеш ? теб скучн хочеш пообща врем смен тем","0"
"лурочк эльдорад ( быдлорад елдарад дилдорад эльдорабств ) быдлосет быдломагазин быдлотехник быдлоэлектроник быдл","1"
"автор обид прож год волгоград концентрац быдл огромн чиновник одн сам охуевш рф","1"
"рашк неироничн встает кол пок хохл кида плюшев свин сво главсвин","1"
"росс пол гомосек стыдн опасн негр - негр афроктотот женщин имеют прав мужчин поэт ебут всем дел так умн аборт - теб пох ? денег захотел дат ? дава остоебенел чита подзалупн иностранщин ког говн перевод наш язык ? нам благородн подагр ещ коклюш скарлатин век гак болет горчичник уч крут мус тарелк подлизыва","1"
"доигра сво русофоб","1"
"о дума отвеча прош прощен перепута комментатор","0"
"сноск откровен виля жоп челяд тво претенз том ссылк якоб взят непроверен источник ткнул тво неумыт хар пойма рук подлец дешевк","1"
"дава отбер нож клоун махн рук тво яйц разлет всем арбат","1"
"некотор стран перер пят минут середин фильм правд пок реклам","0"
"тем гомофорс дава общ наху машеш банхамер ? личн тво доск - нрав обща некотор анон - пил сво сайт навод собствен порядк выгляд встав утр то ног начина раздава бан увид нек намек срач пыт искусствен зарегулирова доск какое-т сво виден доск должн выгляд системн следован правил раздел отсутств избирательн отношен фаворитизм отношен том ин форс - залог стабильн постинг честн доск несеш шизофреник задрочен ? честн доск ? таблеток приня ? теб вообщ дал ограничива прав форс друг люд том относительн фентез сук игр выдума ал вообщ имееш прот гомик говн кусок ? стесня реш открыт ссат всем обитател tes лиц ? надоел стал больн натужн форсед по-друг личн теб ? повтор создава сво сайт поэт анон упорств гомофорс могут будут забан средн срок - недел две вообщ охуел чушок залет так быдл вконтакт пикаб возьмет модераторк дава сво туповат взгляд раздава бан прав лев особ упорств могут попаст пермач счита должн снят доск аб обрат вниман ебан аутист так вообщ никак власт доверя неполноцен люд - доск компьютерн игр поеха дружок","1"
"пил начал завис совет даеш мужик пост тем хер понима","1"
"https psv4.userapi.com c848232 u9216735 docs d11 808c120d8afb ezgif-5-db1d73515f53.gif рейтинг хвата гифк прицеп )","0"
"- работ пьян припер ? - заказ сдал ? - ещ заказ ? - минет изобрел ? - ? - говор собира манатк пизд мам","0"
"бмвизм головн мозг","1"
"остав полгод порнушк секс так начнеш тыка )","1"
"прост ник автор наверн","0"
"налог плат цыганск барон организатор эт лжеинвалид","1"
"писа по-докторск умеет ?","0"
"испанск стыд фашистск отрод должн испытыва лишн убед вам человеческ жит хер заочн нелюд записа","1"
"2:30 - малолетн дебил откр дзен пришл просветлен поздн 5:45 - вер рассказ сокамерник сво невиновн деб малолетн подела хот счита чем-т виноват плох закон сажа наркотик орнул дегенерат короч эт петух мест изоляц","1"
"психиатр ко вид","1"
"видим умн ! )","1"
"погот как лет ? позапрошл год школ законч","0"
"приб район 500тыс тенг ( 100тыс рубл )","0"
"ниху обо возл розеток наход ? ? ? как нах провод должн обвива занавеск ? ? ? провод изоляц никак искр нагр искр быва ? ? ? вход искрен искр постоя работ чувак немн отлича набра ... написано-сиз использ безопасн соединен провод чо хотел сказа ? ? ? аллюмин соедин ? ? ? дык запрещ проводк помещен быстрозажимн клемм wago бляд соединен пар провод потолк ? ? ? реальн занима электромонтаж ? ? ? нику занима лет мозг еба чувак пойм соединя коробк соединя пар провод разн вещ поч ? вопрос цен чувак !","1"
"фейков недостоверн новост источник тво довод вопрос пиш дальш подобн пост","1"
"весел сосед вейп кур гироскутер двум оседла теб кажд нынч петух обозва","0"
"заб добав чурк пожизнен сибир лес вал !","1"
"бабок спорт хочет - покупа пс4 хорош монитор наушник рул покупа гран туризм спорт дирт последн fia призна автоспорт провод официальн чемпионат ( хот дирт увер ) либ прокатн картинг - обычн 700р минут науч вариант покупк сво карт цен 100к карт двигвтел прокатн хвата поня сво скил найт сво лим например улучшен времен еженедельн заезд хвата карт сво езд чащ счита так трат хобб необоснова времен хвата","0"
"как русняа выродк мраз пиздец прост скотств жесток тупост жадност - русскост над пидорах когда-нибуд загрызут собак пырнут нож быдла","1"
"ид вар можеш посол ещ перц добав ...","0"
"так крич шизик ? прост рад разъеб очередн социалистическ гнойник алс серб доеба муслим вообщ начин хорват словенц македонц заканчив практическ тем сам серб котор предпочл называ черногорц серб игра рол народа-фашист югослав - тюрьм народ дыряв лахтинск уебищ пыта представ конфликт войн хорош христиа плох мусульман так поведет знающ истор даун либ комнатн фашист изуча истор форчан люб случа ссу теб личик","1"
"говор человек ник скотоб ?","0"
"вперв докопа ждат второго-трет раз постав утырк мест ? так утырк школ теб обидн какой-т новеньк постав мест ?","1"
"ваш способ отличн цыга действ","0"
"ненужн кусок говн лезет щел e nt z bpj hnf7 из рта ?","1"
"под пораньш работа конча мб ? )","1"
"нача итог доеба орфограф разниц екатерино- красно- славк ежел так хуйн твор ? царск назван казак что-т пукнул алешеньк ху трамвайн ручк пута","1"
"гомоге убива","0"
"волжск буглар пидарас мим астраханск татарин","1"
"любител поструля важн тролл писа комент .. агресс оправда помеща головушк собак выкидыва улиц будут выкидыва вне зависим ведет отстрел","1"
"зна показа способн сдела объективн вывод историческ процесс как вывод пришл уважа коллег точк зрен научн марксистско-ленинск позиц ? личн мо вывод вполн очевидн - ссср обосра слов шмогл шмогл кинул сотн миллион собственноручн воспита гражда фактическ внешн вод миров капиталистическ океа как либ шлюпок спасательн круг вывод ? вид человеческ природ вовс оста неизмен вполн измен поч использова подобн наработк улучшен человек обществ ? почему-т подобн технолог использ нынч цел нац стад говнюк дела ссср попыта прикидыва дурак ? ссср попыта разглядет воспита человек те высок идеал котор собствен должн ид отлича человек животн животн сущност люд быстр приспособ все изврат потомучт сможет созда порядок котор реальн подчин стремлен инстинкт люд прост сможет просчита все поворот возможн план капитализм горазд честн коммунизм потомучт крайн мер уч утопическ идеал честн дает кажд возможн стат человек друг дел люд масс использ возможн проблем люд коммунизм попыта линейк одн гребенк прост туп загна рамк итог ? момент разва ссср коммунизм прибежищ романтик идеалист котор хот смотрет жизн глаз печальн потомучт част лучш люд котор могл служ обществ ? человек - животн человеческ обществ сможет постро так идеолог котор научно-заводск способ воспитыва высок идеал научно-заводск способ воспитыва животн идеал пожалуйст наблюда повсеместн довольн хрюкан потребля оглядыва дела вывод - знач заслуж люд заслуж животн хрюка потребля отвлека сил тащ какое-т светл будущ он ? кажд вол отстав корыт разв искр бог так возможн кажд ещ трудов братств ? я-т вполн научн марксистско-ленинск позиц сто прост эт картинк неплох иллюстрир дан вопрос бредов позиц человеческ природ алчн эгоистическ честн говор научн ваш позиц ровн стольк скольк мо демагог встрет пол был сражен роет сгнивш трух прошл лет рассматрива пепел ищ ответ рыл пок поня наскольк бездарн трач врем поня мир раскр перед мно рекоменд сдернут шор глаз посмотрет мир как нафантазирова","0"
"может что-т представ говор ваш фантаз","0"
"смотр кок грозн пыняв лох сво титиническ легк мощн задува сочн американск залуп","1"
"честн очен бездарн пропагандист сво род быдл стан эл пропагандист понима совокупн контент пропаганд цел рассчита люд недалек отсутств критическ мышлен тво контент рассчита прост умствен отстал","1"
"знал тошн вид ...","1"
"ок мы-т дурачок ? пережива хохл получа громадств голос ког хочеш","1"
"фашик плен котор сдал отсидел сво оста","0"
"пустот теб сфотографирова ? )","0"
"уход сдохнеш","1"
"списа долг трет стран ссср котор должн доста числ казахстан как русск урод умн","1"
"реальн дурачек всерьез дума валакас валер пэниск хуиск т.д интернет образ ирл скрыва денчик част шо развлечен понима нормис рэал нем подойт дума юморк относ рапич аутяр реальн быч нем зрител подход случа образ стрим реальн жизн долбаеб","1"
"вет академ сиб.тракт хвал бо став эксперимент пок наблюда спасиб","0"
"пестр скакунчик ! :3","0"
"пук пук пук пук малолетн деб насральненок навал гавн камент","1"
"конкретн ошиба чебурашк проголос мраз плешив","1"
"та хуйн джентельменств сво врем брачн игрищ сильн заеба вообщ переста пар нача вест обычн эт ужимок образ славн парн зазрен совест девушк кур харка матер сапожник рассказыва охуитительн истор когда-т обосра буха еба кого-т проснул обблева тян пересказыва паст говн т.д т.е вел быдла обычн вед вокруг ник девушк нача тянут сдела вывод девушк вообщ воспринима говор дела т.д воспринима лиш говор дела нача вест обычн дела блят уверен самовлюблен нагл ак самец буд девушк какие-т инстинкт дума что-т стил быдл зат уверен вах прост ! ху знает так поведен позвол пользова определен популярн девушек вообщ покопа все тем образ отношен любв поведен эт брачн игрищ навязыва нам рожден источник массов информац книг фильм красив любовн истор т.д вед джентельм жди ту котор встрепетнет тво душ котор тво сердц забьет чащ живот будут лета бабочк полож жизн счаст втор половинк буд гор добытчик ебырем-террорист вся эт проч романтичн соплив хует корн верн реальн любов отношен имеют общ нам рожден вбива голов высок чувств - обычн желан еба вид человек - получа доз гормон - кайфуеш вид человек - доз гормон - появля ломк - ищеш способ увидет человек теб описан любв какое-т врем чувств угаснут инач кром эт чуйств ниху развод девич фамил настоя любов тысяч причин вмест помим стойк желан еба желан еба прошл равн приятн наход вмест так навязыван светл романтишн любв мо памят вызыва мал пробл мо знаком девушек втуп сидел ждал принц бел кон год ссыл охуен фразочк тво пропуст обеща год ждут проч ебанин некотор пыта лезт кандидат парн ухажива звал гуля пыта побольш времен провод ним упира одн хуйн имен парен очен популяр вообщ уровен цел арм девушек жела попрыга куканчик вся так красив посиж поп смирн ниху буд дела обязательн замет пок буд отмета куч нормальн вариант отношен ! ох бедн несчастн парн найт мог лет девк хож ! поч ? детств вбива ухажива должн мальчик подкатыва должн мальчик вся так красив должн сидет ждат пок теб подкат лиш отсеива нормальн парн ожидан - прынц бел кон ! ! имен любов работа нах ! ! ! чет занесл печет пиздец джентельменств хуйн собач образ современ любв - та дич над пар десятк поколен ве романтизм брачн игрищ станут архаизм люд прост будут влюбля вмест социально-любовн шлак","0"
"одн ожида баба-провизор реш урон кропал папирос крошк печен ? зы заворачива печен папиросн бумаг ?","0"
"конц апрел год ки приеха анальн господин мир вячесла володин доверен лиц путин задач заключа мест согласова обь поставок газ украин сторон росс белорусс ( белорусск сторон киев представля личн президент лукашенк реч шла транз ) виз господин крайн почет порошенк символизирова повышен градус чиновнич иерарх российск многонационал шумерск деспот организова дорог гост царск при зна пристраст выдел киевск киберсотн секс-жемчужин красив мальчик очаровательн попк избежа благодар сво упруг попк участ ат виз законч господин ласков попроща президент неожида добав - хлопчик соб забира нормальн хлопчик чет мо лахт москв точн карьер сдела порошенк брос колен пыта сво лунопоп персик перемог оч зрад вселен отмол помогл россиянин погруз добыч самолет улетел дел высок чувств господин володин дипломатическ школ российск дипломат накоп больш оп опускан сельск свинюшек знают облуплен управля мастерск щелчок-конфетка-щелчок","1"
"измен муж шлюх все прост","1"
"че ореш ? ? ? разбуд ...","0"
"наверн умееш чита пута друг человек","1"
"уч матчаст селекционер","0"
"заткнут можеш ?","1"
"ууу сладкоежк детектед","0"
"част теб заезжа мухобойк ?","1"
"поддержива говнар ( идеологическ ) счита бог гитар - имх идиот бог счита неоднократн говор средн гитарист буст тайминг высекан как-т примерн гитарист рок-мета групп план далек ударк попаст могут - факт сочиня - множеств пес сочин игра сложн заморочен музык","1"
"леп твор малюеееш","0"
"так удивительн истор .. дан цыганк упорот ребенк","0"
"действительн русск проблем теб сказа - свобод бля непонятн ? полност соответствуеш сво ник осел игнор нер","1"
"гей-геронтоф )","1"
"извин юрлиц совокупля ? кагбэ вообщ алимент пристав работа","0"
"давн прошл акк ) накрут писькин доктор нача ход заеба ! xd иска подвох сказа - больн уход ! - точн ? - мам клян ! уход ! - ...","0"
"раз- прош прочита комментар внимательн","0"
"брат упорот лис - )","0"
"скор навальн проч либерашек подсисянник буд отстрелива никак пощад враг велик росс","1"
"картинк открыва написа newzanamodel.jpg","0"
"пойм совет что-л раз прош ?","1"
"наверн муриканск сапог жоп хохл нечт друг полага ?","1"
"пута адекватн уважен уровн никт имеет прав оскорбля либ принос вред нездоров ман велич справедлив честн нын живущ ( прям цитат )","1"
"гнил твар срет питер хуев стишк ещ минкульт","1"
"мест кита эт систем работа прич давольн давн правд отдельн подсветк сто ещ","0"
"правильн ... минут люд войт вагон выйт вагон успева","0"
"хохол москал ? !","1"
"сцук умельц пририс камен ( ? ) надп модератор ! пожалуйст )","0"
"кухня-гостин нынч популярн хрен так дом достро )","0"
"реальн кук например","0"
"оп доказательств умееш чита виж так заусенец виж кромк детал должн имет заусенц отлич чита друг слов кром иском имен кромк металлическ детал должн имет заусенц слил iq умен чита умен дела оценк качеств умен отвеча вопрос стран дыша умееш писа","1"
"серьезн вид ирон праводебил топ ровн сам кажд пункт ? сынок близк трет рейх всем говн сектантск закон массов убийств убийств собствен ранен солдат попа евгеническ программ инвалид лагер смерт проебыван будущ стран воен ммм среднестатистическ государств ближн восток 70-х 80-х говор современ афганиста пакиста т.д дно ниж европейц пада прост некуд албан врем энвер так дно смотр дик","0"
"главн офис сычевальн кукух едеш сгорб сво компуктер никак намек чсв хот прост элементарн зачатк личност куша антидепрессант дроч анимэ подвякива мамкин вскудахт двач убермэнш","1"
"поня штук - продолжен тво аналог комментатор выш метаюморист привел аналог подтвержда тво аналог врем критик тонк юмор ?","0"
"раск федераск жив","0"
"совмест дел опыт ? учт","0"
"знает шли ... бан кстат может сам диксон врач","0"
"по-мо прост зануд","1"
"страда изврощенец однак раньш ряд хрюкан получш тянк недотрап колхозн шизанут","1"
"аг втор ссылк сша ниж росс напрягл ? ладн хул тоб разговарива интересн жри помо дальш","1"
"написа попрос убед тупиц знач повернул","1"
"прост убива местн дегенерат евг вовс топ совок вообщ говор сво политическ предпочтен вышл обычн сам говен высер модн снима совок вмест совк лжи вылива повод ри евг называ монархист смека даун ? советск киношкол действительн охуен евг част став пример вовс совков профессиональн подступ отсеива всяк галустян проч дегенерат став неуд хуев шутк пропуск высер больш экра","1"
"перевед поток сознан хот хохляцк плиз","1"
"суеш ? пшел лавк","1"
"пошел нах сашеньк ебан","1"
"какой-т хуев хомяк","1"
"поня чо сам умн ? ?","1"
"туп вопрос туп заявлен ) заболеют нескольк член мо сем буд уделя вниман кажд приоритетн ком дан момент хуж несравним вещ гарант женщин сможет расстав приоритет правильн основыв здрав смысл блядск эмоциональн ? вам ясн слов созда впечателен адекватн так ?","1"
"астоебен всем гон нах кана неужел трудн обаща тупорыл вне ютуб хот что-т кром хал начн выкладыва ! реальн астоебен ! виде блядск дня рожден месяц тянет ! месяц карл !","1"
"турецк арабск хуесос 90-е так созда какую-никак ячейк радикал взят азатлык благ большинств настольк туп быдл ратова шариат проч средневеков дич состо да бог пар сот отбит какой-т умник реш присоедин тренд вытягиван извинен - стыдн вполн секуляризова народ удар средневеков дич мим татарин","1"
"скаж внезапн туберкулез","0"
"серьезн дума из-з смотр панчин относ населен ? смотр маг проч говнин хул взят","1"
"науч пикаб сам умн ?","1"
"прост социальн несправедлив дает поко предыдущ докладчик ? врем так либ работа клоун пидорас либ пидорас клоун сам мелк прайс либ вообщ прост господ буддист извин ком относ ?","0"
"жирн тролл склочник прост неприятн человек","1"
"! прав ! о туп ... извин позвол высказыва сво мнен сво знан недальновидно-т ...","0"
"че пришьют бездуховн гейроп иш удума пол сам выбира !","1"
"зомбоящик заб гом2 проч говн шо котор привива так модел поведен правильн","0"
"отправ тарас гулаг пан пуска воркут пуст стро мост доходяг смотр кана орт","1"
"относ эксперимент гезелл ид отказ накопительн функц денег вообщ ? погугл почита по-диагона подразумева регуляц нах он ? прот денег высок волатильн дава власт эт деньг - иде очен плох взгляд идт сторон большейпрозрачн обществен структур контрол сторон частн лиц несомнен шаг правильн направлен произвож фальшивок получа двойн наебалов государств фальшивомонетчик сторон деньг государств теб попада никак обществ цел наеб сторон участник обществ влож деньг - ресурс ограничен ? собира буд долг ущерб чему-т ещ прост налог легальн грабеж наеб всем фронт несамоцен деньг - все по-рыночн люб деньг инач подчиня закон спрос предложен децентрализац можеш инструмент обход врод биткоин-миксер кост биток валют очен совершен мягк говор крипт намн удобн появ времен удачн вариант приобретут капитализац спрос сказа выш биток скор подход хранен актив транзакц экономическ принужден никуд дел назва экономическ мотивац избав знач избав рынк денег цел ближ коммунизм социал-дарвинизм процвета сут прост стран перв мир скрыт высок уровн жизн развит соц государств дума завис смотрет так-т личн взаимоотношен подчиня рыночк соответствен неконкурентноспособн отмира счита нормальн знач счита будут кида деньг благотворительн будут кстат откуд берут ид вообщ тво представлен ? голов ? очен поня вопрос т.е спекулянт ? спекулянт - покаж пример битк цен низк сдела спекулянт ? закуп битк свободн битк стал меньш цен растет выгодн всем битк прода скаж цен сильн выросл сдела спекулянт ? продаст битк свободн битк стал цен уменьш выгодн покупа инач выравнива курс дела скачк редк плох спекулянт котор закупа дор прода дешев дела ровн противоположн реша рыночек убытк поэт долг дела могут","1"
"школ мозаик вылож стен перв этаж попроб забуд","0"
"держ - скаж спасиб коррекц фотка дава","0"
"коммунизм парн теб подбира отличн советова говор опытн человек гомосексуализм сред коммунист найдеш дава жду список гомокоммунист котор предлож","1"
"скаж одн никт теб поможет кром сам либ береш сво рук либ люб вышеперечислен вариант","0"
"перепута роддом негритенк хохл русск хохол заход палат крич слав украин ! негритенок засмея русск хохленок обосра дава говн кида","1"
"хахах лошар плюсик достанет","1"
"одн симпозиум встрет четыр лингвист англичанин немец итальянец русск реч зашл язык нача спор че язык красив богач как язык принадлеж будущ ? англичанин сказа англ стран велик завоевател мореплавател путешественник котор разнесл слав е язык всем уголк мир английск язык язык шекспир диккенс байрон несомнен лучш язык мир подобн заяв немец наш язык язык наук физик медицин техник язык кант гегел язык котор написа лучш произведен миров поэз фауст гет об неправ вступ спор итальянец подума ве мир все человечеств люб музык песн романс опер ! как язык звучат лучш любовн романс гениальн опер ? язык солнечн итал ! русск долг молча скромн слуша промолв мог такж кажд сказа русск язык язык пушкин толст тургенев чехов превосход язык мир пойд ваш пут скаж могл сво язык состав небольш рассказ завязк последовательн развит сюжет слов рассказ начина одн то букв ? очен озадач собеседник тро заяв наш язык невозможн русск отвеча наш язык вполн возможн докаж назов люб букв немец ответ все равн букв п например прекрасн рассказ букв ответ русск петр петрович петух поручик пятьдес пят подольск пехотн полк получ почт письм полн приятн пожелан приезжа писа прелестн полин павловн перепелкин поговор помечта потанцу погуля посет полузабыт полузаросш пруд порыбач приезжа петр петрович поскор погост петухов предложен понрав прикинул приед прихват полустерт полев плащ подума пригод поезд приб полудн приня петр петрович почтен пап полин павловн павел пантелеймонович пожалуйст петр петрович присажива поудобн проговор папаш подошел плешивеньк племянник представ порфир платонович поликарп прос прос появ прелестн полин полн плеч прикрыва прозрачн персидск платок поговор пошут приглас пообеда пода пельмен плов пикул печенк паштет пирожк пирожн пол-литр померанцев плотн пообеда петр петрович почувствова приятн пресыщен прием пищ плотн перекус полин павловн приглас петр петрович прогуля парк парк простира полузабыт полузаросш пруд прокат парус плаван пруд пошл погуля парк присяд предлож полин павловн присел полин павловн придвинул поближ посидел помолча прозвуча перв поцел петр петрович притом предлож полежа подстел полустерт полев плащ подума пригод полежа поваля повлюбля петр петрович проказник прохвост привычн проговор полин павловн пожен пожен ! прошепта плешивеньк племянник пожен пожен пробас подошедш папаш петр петрович побледнел пошатнул побежа проч побежа подума полин петровн прекрасн парт полнот пар петр петрович промелькнул перспектив получ прекрасн помест поспеш посла предложен полин павловн приня предложен позж пожен приятел приход поздравля принос подарк передав пакет приговарива прекрасн пар собеседники-лингвист услыша рассказ вынужд призна русск язык сам лучш сам богат язык мир","0"
"1. оставлен комментар трижд проверя налич тред 2. макаб удаля комментар 3. аб скручива лайк 4. распространя виде жильц ваш жек ? ? ? 6. люб","0"
"бляд жоп пост чита ?","1"
"файжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжж.жжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжжэзш.х","0"
"бля че болезн ? мен поход так дерьм","0"
"закон запреща высказыва интернет явн неуважен след групп обществ государств официальн государствен символ рф ( герб флаг ) конституц рф согласн стат конституц российск федерац кажд гарантир свобод мысл слов лол закон якоб защища конституц противореч сам конституц охуен че","0"
"тво мам знает ког топ ?","1"
"ваш понас обычн прокремлевск пидарас","1"
"долбаеб аэээм ?","1"
"редк встреча сборк сложн механизм нол одн цех крупноузлов сборк счита признак отстал металл обязательн сыр прокат арматур закончен продукт оцинкова стал готов продукт е нужн спрессова производств руллон холодноката стал руд угл сложн трудоемк процесс денег поднима немерен собствен топ российск форбс металлург","0"
